genomeAcc	bioprojectID	bioprojectTitle	bioprojectDec	bioprojectFlags	bioprojectHabitat	biosampleID	biosampleTitle	biosampleLocation	biosampleSource	biosampleEnvs	biosampleFlags	biosampleHabitat	sumHabitat	accession	checkm_completeness	checkm_contamination	contig_count	n50_scaffolds	genome_size	gtdb_taxonomy	gtdb_representative
GCA_003402375.1	PRJNA437159	freshwater metagenome Genome sequencing and assembly	Enrichment culture metagenomes of nitrifiers enriched from freshwater sediment and water column samples from rivers in Colorado, USA.	Freshwater,Metagenome,Aqua,Sediment,Modified	Modified	SAMN09011955	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. CP45	USA:Colorado, Cache la Poudre River near state highway 45	Flowing water column of Cache la Poudre River; enriched in culture for about 1.5 years	freshwater river|river water column|water column	Freshwater,Aqua,Metagenome,Warning	FW	Modified	GB_GCA_003402375.1	97	0.3	59	69731	2816237	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp003402375	t
GCA_947475825.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112175277	RH-23may17-230	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947475825.1	95.06	0.5	119	25799	2211022	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp947475825	t
GCA_903877485.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6947195	MAG LJ-7-9m_bin-0281 from assembly ERS4600459	Finland|Evo	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903877485.1	91.4	1.38	171	10427	1325191	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_003402345.1	PRJNA437159	freshwater metagenome Genome sequencing and assembly	Enrichment culture metagenomes of nitrifiers enriched from freshwater sediment and water column samples from rivers in Colorado, USA.	Freshwater,Metagenome,Aqua,Sediment,Modified	Modified	SAMN09011957	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. MKT	USA:Colorado, Denver, Cherry Creek underneath Market street bridge	Sediment of Cherry Creek; enriched in culture for about 1.5 years	sediment permeated by freshwater|creek sediment|sediment	Sediment,Freshwater,Metagenome	FWSed.	Modified	GB_GCA_003402345.1	98.18	0.3	23	214834	2707194	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp003402345	t
GCA_016106535.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN16622482	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Ontario	freshwater lake	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring	GB_GCA_016106535.1	72.09	0.71	109	11760	992811	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_943332965.1	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA14435121	ERS11712895	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring	GB_GCA_943332965.1	70.96	0.26	93	12891	959314	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903878125.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6951792	MAG Loclat_bin-08429 from assembly ERS4649301	Switzerland|Neuchâtel	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903878125.1	96.84	1.58	297	15318	2640148	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp903878125	t
GCA_943328055.2	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA14434957	ERS11712892	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring	GB_GCA_943328055.2	89.67	2.69	123	15259	1332480	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903867655.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6949477	MAG Erken-D4_bin-1272 from assembly ERS4600395	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903867655.1	92.94	0.47	72	67631	1372822	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903853395.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6950619	MAG UppL6_bin-1277 from assembly ERS4600576	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903853395.1	70.57	2.61	100	21732	1047045	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903909865.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6951055	MAG Erken-D10_bin-0675 from assembly ERS4600391	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903909865.1	92.84	1.7	71	47795	1377280	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_030696425.1	PRJNA700657	Alberta groundwater Metagenome	Investigate the microbial diversity and functions in the Alberta groundwater	Groundwater,Metagenome	GW	SAMN36730174	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater	Groundwater,Metagenome	GW	GW	GB_GCA_030696425.1	94.79	0.07	126	32056	2809564	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp003402375	f
